Code;Territoire;Commune;Quartier
21011A00-;VANHUFFEL;Koekelberg;Koekelberg
21011A01-;SAINTE-ANNE;Koekelberg;Koekelberg
21011A02-;JACQUET (RUE DE);Koekelberg;Koekelberg
21011A10-;PAIX (AVENUE DE LA);Koekelberg;Hôpital Français
21011A11-;LEPREUX;Koekelberg;Hôpital Français
21011A12-;BASILIQUE;Koekelberg;Hôpital Français
21011A20-;PLATEAU;Koekelberg;Basilique
21011A29-;PARC ELISABETH;Koekelberg;Parc Elisabeth
21011A30-;ARCHERS - FOUREZ;Koekelberg;Basilique
21012A00-;CENTRE;Molenbeek Saint-Jean;Molenbeek Historique
21012A011;CANAL-SUD;Molenbeek Saint-Jean;Molenbeek Historique
21012A02-;BRUNFAUT (QUARTIER);Molenbeek Saint-Jean;Molenbeek Historique
21012A03-;RANSFORT;Molenbeek Saint-Jean;Molenbeek Historique
21012A041;QUATRE VENTS;Molenbeek Saint-Jean;Molenbeek Historique
21012A05-;SAINT-JOSEPH;Molenbeek Saint-Jean;Molenbeek Historique
21012A10-;DUCHESSE DE BRABANT;Molenbeek Saint-Jean;Duchesse
21012A11-;INDUSTRIE;Molenbeek Saint-Jean;Cureghem Rosée
21012A12-;BIRMINGHAM-SUD;Molenbeek Saint-Jean;Duchesse
21012A13-;BIRMINGHAM-NORD;Molenbeek Saint-Jean;Duchesse
21012A141;INDEPENDANCE;Molenbeek Saint-Jean;Gare de l'ouest
21012A152;ETANGS NOIRS;Molenbeek Saint-Jean;Gare de l'ouest
21012A172;GARE OUEST;Molenbeek Saint-Jean;Gare de l'ouest
21012A20-;BAECK;Molenbeek Saint-Jean;Machtens
21012A21-;MARIE-JOSE BLOCS;Molenbeek Saint-Jean;Karreveld
21012A22-;BRASILIA;Molenbeek Saint-Jean;Machtens
21012A23-;MACHTENS-SUD;Molenbeek Saint-Jean;Machtens
21012A24-;OSSEGHEM;Molenbeek Saint-Jean;Machtens
21012A25-;BEEKKANT;Molenbeek Saint-Jean;Karreveld
21012A26-;MACHTENS-NORD;Molenbeek Saint-Jean;Machtens
21012A29-;MARIE-JOSE (PARC);Molenbeek Saint-Jean;Parc Marie-José
21012A2MJ;CHEMIN DE FER;Molenbeek Saint-Jean;Gare de l'ouest
21012A30-;METTEWIE - IDYLLE;Molenbeek Saint-Jean;Machtens
21012A39-;DE RAEDT;Molenbeek Saint-Jean;Scheutbos
21012A41-;MOORTEBEEK;Molenbeek Saint-Jean;Moortebeek - Peterbos
21012A50-;BENES;Molenbeek Saint-Jean;Hôpital Français
21012A511;STEYNS;Molenbeek Saint-Jean;Karreveld
21012A52-;NEEP (QUARTIER DU);Molenbeek Saint-Jean;Karreveld
21012A53-;SIPPELBERG;Molenbeek Saint-Jean;Karreveld
21012A54-;DELHAIZE;Molenbeek Saint-Jean;Karreveld
21012A552;PFEIFFER;Molenbeek Saint-Jean;Karreveld
21012A59-;KARREVELD;Molenbeek Saint-Jean;Hôpital Français
21012A60-;LAEKENVELD;Molenbeek Saint-Jean;Quartier Maritime
21012A611;MEXICO;Molenbeek Saint-Jean;Quartier Maritime
21012A62-;LIBERATEURS;Molenbeek Saint-Jean;Quartier Maritime
21012A63-;DUBRUCQ-NORD;Molenbeek Saint-Jean;Quartier Maritime
21012A672;ULENS;Molenbeek Saint-Jean;Quartier Maritime
21012A71-;PIERS;Molenbeek Saint-Jean;Molenbeek Historique
21012A72-;LAVALLEE;Molenbeek Saint-Jean;Molenbeek Historique
21012A732;CANAL-NORD;Molenbeek Saint-Jean;Molenbeek Historique
21012A811;MYRTES-NORD;Molenbeek Saint-Jean;Korenbeek
21012A822;KORENBEEK;Molenbeek Saint-Jean;Korenbeek
21012A833;ELBERS;Molenbeek Saint-Jean;Korenbeek
21012A84-;METTEWIE-BUILDINGS;Molenbeek Saint-Jean;Machtens
21012A851;CONDOR;Molenbeek Saint-Jean;Machtens
21012A882;DARING;Molenbeek Saint-Jean;Machtens
21013A00-;HOTEL DE VILLE;Saint-Gilles;Haut Saint-Gilles
21013A01-;ESPAGNE (RUE D');Saint-Gilles;Haut Saint-Gilles
21013A02-;CAPOUILLET (RUE);Saint-Gilles;Berckmans - Hôtel des Monnaies
21013A031;AMAZONE (RUE DE);Saint-Gilles;Châtelain
21013A04-;PRISON;Saint-Gilles;Haut Saint-Gilles
21013A052;FAIDER (RUE);Saint-Gilles;Châtelain
21013A101;PARVIS;Saint-Gilles;Porte de Hal
21013A102;PARVIS;Saint-Gilles;Porte de Hal
21013A11-;PARME (RUE DE);Saint-Gilles;Haut Saint-Gilles
21013A121;GUILLAUME TELL-SUD;Saint-Gilles;Bosnie
21013A13-;DETHY (RUE);Saint-Gilles;Porte de Hal
21013A151;METAL (RUE DU);Saint-Gilles;Berckmans - Hôtel des Monnaies
21013A201;ANGLETERRE (RUE D');Saint-Gilles;Porte de Hal
21013A211;FONTAINAS;Saint-Gilles;Porte de Hal
21013A22-;REGIES;Saint-Gilles;Bosnie
21013A23-;ROI (AVENUE DU);Saint-Gilles;Bas Forest
21013A242;BETHLEEM (PLACE DE);Saint-Gilles;Porte de Hal
21013A252;DANEMARK (RUE DE);Saint-Gilles;Porte de Hal
21013A2MJ;GARE DU MIDI;Saint-Gilles;Gare du Midi
21013A40-;BARRIERE;Saint-Gilles;Haut Saint-Gilles
21013A41-;VILLAS (AVENUE DES);Saint-Gilles;Haut Saint-Gilles
21013A422;CRICKX (RUE);Saint-Gilles;Bosnie
21013A51-;TOISON D'OR (AVENUE);Saint-Gilles;Berckmans - Hôtel des Monnaies
21013A522;RUE D'ECOSSE;Saint-Gilles;Berckmans - Hôtel des Monnaies
21013A612;JAMAR;Saint-Gilles;Cureghem Bara
21013A623;FRANCE (RUE DE);Saint-Gilles;Cureghem Bara
21014A00-;PLACE SAINT-JOSSE;Saint-Josse-ten-Noode;Saint-Josse Centre
21014A01-;STEURS;Saint-Josse-ten-Noode;Saint-Josse Centre
21014A02-;CHARITE;Saint-Josse-ten-Noode;Saint-Josse Centre
21014A03-;MADOU;Saint-Josse-ten-Noode;Saint-Josse Centre
21014A04-;HAECHT (CHAUSSEE DE);Saint-Josse-ten-Noode;Chaussée de Haecht
21014A05-;HOUWAERT;Saint-Josse-ten-Noode;Saint-Josse Centre
21014A10-;SAINT-FRANCOIS;Saint-Josse-ten-Noode;Quartier Brabant
21014A12-;SAINT-LAZARE;Saint-Josse-ten-Noode;Quartier Brabant
21014A13-;ROGIER;Saint-Josse-ten-Noode;Quartier Nord
21014A14-;PRAIRIE;Saint-Josse-ten-Noode;Quartier Brabant
21014A18-;JARDIN BOTANIQUE;Saint-Josse-ten-Noode;Botanique
21014A2MJ;NORD;Saint-Josse-ten-Noode;Quartier Nord
21014A3MJ;MANHATTAN;Saint-Josse-ten-Noode;Quartier Nord
21014A41-;BOSSUET;Saint-Josse-ten-Noode;Saint-Josse Centre
21015A00-;COLIGNON (PLACE);Schaerbeek;Colignon
21015A01-;VAN YSENDYCK (RUE);Schaerbeek;Colignon
21015A021;HOUFFALIZE (PLACE);Schaerbeek;Colignon
21015A03-;JOSAPHAT (RUE);Schaerbeek;Chaussée de Haecht
21015A04-;L'OLIVIER (RUE);Schaerbeek;Chaussée de Haecht
21015A05-;ROYALE SAINTE-MARIE (RUE);Schaerbeek;Chaussée de Haecht
21015A101;GARE;Schaerbeek;Gare de Schaerbeek
21015A111;MAETERLINCK;Schaerbeek;Helmet
21015A12-;HUART HAMOIR (AVENUE);Schaerbeek;Gare de Schaerbeek
21015A13-;PORTAELS (RUE);Schaerbeek;Colignon
21015A142;SAINTE-FAMILLE;Schaerbeek;Helmet
21015A152;PR. ELISABETH-NORD;Schaerbeek;Gare de Schaerbeek
21015A20-;HELMET;Schaerbeek;Helmet
21015A21-;GUIDO GEZELLE (RUE);Schaerbeek;Helmet
21015A22-;MARBOTIN A. (RUE);Schaerbeek;Terdelt
21015A231;J. BLOCKX (RUE);Schaerbeek;Helmet
21015A24-;WAELHEM (RUE);Schaerbeek;Colignon
21015A272;HOPITAL P. BRIEN;Schaerbeek;Helmet
21015A30-;GRANDE RUE AU BOIS;Schaerbeek;Dailly
21015A31-;PATRIE;Schaerbeek;Dailly
21015A32-;CONSOLATION (RUE DE LA);Schaerbeek;Dailly
21015A33-;BIENFAITEURS (PLACE DE);Schaerbeek;Dailly
21015A34-;PAQUERETTES (RUE);Schaerbeek;Josaphat
21015A35-;JEAN STOBBAERTS (AVENUE);Schaerbeek;Josaphat
21015A36-;CAMBIER (AVENUE E.);Schaerbeek;Josaphat
21015A39-;JOSAPHAT (PARC);Schaerbeek;Parc Josaphat
21015A40-;BRABANT (RUE DE);Schaerbeek;Quartier Brabant
21015A41-;VANDERLINDEN (RUE);Schaerbeek;Quartier Brabant
21015A421;PALAIS (RUE DE);Schaerbeek;Quartier Brabant
21015A43-;GARE DU NORD;Schaerbeek;Quartier Nord
21015A44-;REINE (AVENUE);Schaerbeek;Quartier Nord
21015A45-;STEPHENSON (PLACE);Schaerbeek;Quartier Brabant
21015A50-;OPALE;Schaerbeek;Plasky
21015A51-;CERISIERS (AVENUE DES);Schaerbeek;Georges Henri
21015A52-;LINTHOUT (RUE);Schaerbeek;Porte Tervueren
21015A53-;DAILLY (PLACE);Schaerbeek;Dailly
21015A54-;EMERAUDE (AVENUE);Schaerbeek;Plasky
21015A612;BRICHAUT (RUE DE);Schaerbeek;Quartier Brabant
21015A622;BRUSILIA;Schaerbeek;Colignon
21015A63-;DESCHANEL P. (AVENUE);Schaerbeek;Josaphat
21015A64-;DUPLOYE SQUARE;Schaerbeek;Dailly
21015A70-;P. HYMANS (RUE);Schaerbeek;Gare Josaphat
21015A71-;JARDINS;Schaerbeek;Gare Josaphat
21015A721;F. COURTENS (AVENUE);Schaerbeek;Gare Josaphat
21015A73-;H. EVENEPOEL (RUE);Schaerbeek;Reyers
21015A77-;R.T.B.;Schaerbeek;Reyers
21015A782;CIMETIERE DE SAINT-JOSSE;Schaerbeek;Gare Josaphat
21015A7MJ;JOSAPHAT GARE;Schaerbeek;Gare Josaphat
21015A811;TERDELT;Schaerbeek;Terdelt
21015A822;CH. GILISQUET - SUD (AVENUE);Schaerbeek;Terdelt
21015A831;LATINIS (AVENUE G.);Schaerbeek;Terdelt
21015A883;THEUNIS PIERRE (RUE);Schaerbeek;Terdelt
21016A00-;GLOBE-EST;Uccle;Globe
21016A01-;DIEWEG;Uccle;Dieweg
21016A02-;ALSEMBERG-NORD;Uccle;Globe
21016A03-;COGHEN;Uccle;Globe
21016A042;ECHEVINAGE;Uccle;Montjoie - Langeveld
21016A05-;LE CHAT;Uccle;Molière - Longchamp
21016A102;GROESELENBERG;Uccle;Observatoire
21016A111;VERT CHASSEUR;Uccle;Observatoire
21016A12-;HAMOIR;Uccle;Observatoire
21016A13-;OBSERVATOIRE;Uccle;Observatoire
21016A193;WOLVENDAEL;Uccle;Parc Wolvendael
21016A214;ASTRONOMES;Uccle;Observatoire
21016A225;PTOLEMEE;Uccle;Observatoire
21016A232;BEAU SEJOUR;Uccle;Montjoie - Langeveld
21016A311;FORT JACO;Uccle;Fort Jaco
21016A322;CHAUSSEE DE WATERLOO-EST;Uccle;Fort Jaco
21016A331;CHAUSSEE DE WATERLOO-OUEST;Uccle;Fort Jaco
21016A342;FOND;Uccle;Vivier d'Oie
21016A383;FORET DE SOIGNES LORRAINE-W.;Uccle;Forêt de Soignes
21016A39-;FORET DE SOIGNES LORRAINE-EST;Uccle;Forêt de Soignes
21016A400;SAINT-JOB;Uccle;Saint-Job Kauwberg
21016A410;ALPHONSE XIII;Uccle;Saint-Job Kauwberg
21016A429;CARLOO;Uccle;Saint-Job Kauwberg
21016A44-;PECHERIE;Uccle;Dieweg
21016A490;KAUWBERG;Uccle;Saint-Job Kauwberg
21016A521;VERREWINKEL;Uccle;Kriekenput - Homborch - Verrewinkel
21016A533;MOENSBERG;Uccle;Kalevoet - Moensberg
21016A601;BOURDON;Uccle;Kalevoet - Moensberg
21016A610;ENGELAND;Uccle;Kriekenput - Homborch - Verrewinkel
21016A620;KRIEKENPUT;Uccle;Kriekenput - Homborch - Verrewinkel
21016A639;HOMBORCH;Uccle;Kriekenput - Homborch - Verrewinkel
21016A64-;MOLENSTEEN;Uccle;Kalevoet - Moensberg
21016A65-;ALSEMBERG-SUD;Uccle;Kalevoet - Moensberg
21016A692;CIMETIERE - ST.-GILLES;Uccle;Cimetière de Saint-Gilles
21016A701;MERLO;Uccle;Kalevoet - Moensberg
21016A71-;KEIENBEMPT;Uccle;Kalevoet - Moensberg
21016A72-;MELKRIEK;Uccle;Kalevoet - Moensberg
21016A731;ROETAERT;Uccle;Kalevoet - Moensberg
21016A772;ZWARTEBEEK;Uccle;Kalevoet - Moensberg
21016A80-;VANDERKINDERE;Uccle;Churchill
21016A81-;BASCULE;Uccle;Churchill
21016A82-;CHURCHILL;Uccle;Churchill
21016A831;LONGCHAMP;Uccle;Montjoie - Langeveld
21016A841;ZEECRABBE;Uccle;Montjoie - Langeveld
21016A85-;BRUGMANN;Uccle;Churchill
21016A901;CENTRE-OUEST;Uccle;Globe
21016A912;GLOBE-OUEST;Uccle;Globe
21016A922;WOLVENBERG;Uccle;Globe
21016A933;VOSSEGAT-OUEST;Uccle;Vossegat - Roosendaal
21016A943;SEPT-BONNIERS;Uccle;Altitude 100
21016A954;VOSSEGAT-EST;Uccle;Globe
21017A000;CENTRE DE BOITSFORT;Watermael-Boitsfort;Boitsfort Centre
21017A01-;COIN DU BALAI;Watermael-Boitsfort;Boitsfort Centre
21017A021;DREVE DES EQUIPAGES;Watermael-Boitsfort;Boitsfort Centre
21017A031;AVENUE DELLEUR;Watermael-Boitsfort;Boitsfort Centre
21017A041;DREVE DU DUC;Watermael-Boitsfort;Boitsfort Centre
21017A08-;SOUVERAIN-EST;Watermael-Boitsfort;Boitsfort Centre
21017A09-;FORET DE SOIGNES;Watermael-Boitsfort;Forêt de Soignes
21017A11-;FLOREAL;Watermael-Boitsfort;Trois Tilleuls
21017A12-;LE LOGIS-NORD;Watermael-Boitsfort;Trois Tilleuls
21017A13-;BOULEAUX;Watermael-Boitsfort;Watermael Centre
21017A192;STADE DES TROIS TILLEULS;Watermael-Boitsfort;Watermael Centre
21017A212;AVENUE DE LA TENDERIE;Watermael-Boitsfort;Watermael Centre
21017A220;LE LOGIS-SUD;Watermael-Boitsfort;Trois Tilleuls
21017A230;BEGUINETTES;Watermael-Boitsfort;Boitsfort Centre
21017A240;SOUVERAIN-OUEST;Watermael-Boitsfort;Boitsfort Centre
21017A312;CLOS DES CHENES;Watermael-Boitsfort;Dries
21017A323;DREVE DES TUMULI;Watermael-Boitsfort;Dries
21017A374;ZONING DE BUREAUX-SUD;Watermael-Boitsfort;Dries
21017A382;FORESTERIE;Watermael-Boitsfort;Forêt de Soignes
21017A393;ETANGS DE BOITSFORT;Watermael-Boitsfort;Forêt de Soignes
21017A41-;AVENUE DE VISE;Watermael-Boitsfort;Boondael
21017A421;WATERMAEL - STATION;Watermael-Boitsfort;Dries
21017A432;DRIES;Watermael-Boitsfort;Dries
21017A443;VILLE-ET-FORET - ELAN;Watermael-Boitsfort;Dries
21017A451;FUTAIE;Watermael-Boitsfort;Dries
21017A472;ZONING DE BUREAUX-NORD;Watermael-Boitsfort;Dries
21017A501;CENTRE DE WATERMAEL;Watermael-Boitsfort;Watermael Centre
21017A512;VANDER ELST - BIEN FAIRE;Watermael-Boitsfort;Watermael Centre
21017A523;MARTIN-PECHEUR;Watermael-Boitsfort;Watermael Centre
21017A534;RUE DES BEGONIAS;Watermael-Boitsfort;Watermael Centre
21017A541;LOUTRIER - WIENER;Watermael-Boitsfort;Watermael Centre
21017A613;AVENUE DE TERCOIGNE;Watermael-Boitsfort;Watermael Centre
21017A624;PECHERIES;Watermael-Boitsfort;Watermael Centre
21017A635;PRINCES BRABANCONS;Watermael-Boitsfort;Trois Tilleuls
21017A696;HERONNIERE;Watermael-Boitsfort;Watermael Centre
21018A00-;TOMBERG;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A01-;SAINT-LAMBERT;Woluwe Saint-Lambert;Boulevard de la Woluwe
21018A02-;SLEGERS (AVENUE);Woluwe Saint-Lambert;Gribaumont
21018A031;ABELOOS;Woluwe Saint-Lambert;Gribaumont
21018A04-;BEETEPUT;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A05-;DRIES;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A09-;RASANTE;Woluwe Saint-Lambert;Gribaumont
21018A12-;STOCKEL (CHAUSSEE DE);Woluwe Saint-Lambert;Stockel
21018A13-;GROOTVELD;Woluwe Saint-Lambert;Boulevard de la Woluwe
21018A14-;CHANCELLERIE;Woluwe Saint-Lambert;Boulevard de la Woluwe
21018A15-;LES SOURCES;Woluwe Saint-Lambert;Boulevard de la Woluwe
21018A19-;STRUYCKBEKEN;Woluwe Saint-Lambert;Kapelleveld
21018A20-;GEORGES HENRI (AVENUE);Woluwe Saint-Lambert;Georges Henri
21018A21-;DE BROQUEVILLE (AVENUE)-NORD;Woluwe Saint-Lambert;Georges Henri
21018A22-;DE BROQUEVILLE (AVENUE)-SUD;Woluwe Saint-Lambert;Gribaumont
21018A24-;LAMBEAU (AVENUE);Woluwe Saint-Lambert;Georges Henri
21018A30-;SAINTE-FAMILLE;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A311;PARC SCHUMAN;Woluwe Saint-Lambert;Val d'Or
21018A32-;CLOS DES PEUPLIERS;Woluwe Saint-Lambert;Val d'Or
21018A33-;NEERVELD;Woluwe Saint-Lambert;Val d'Or
21018A34-;HOF TEN BERG-SUD;Woluwe Saint-Lambert;Val d'Or
21018A35-;HOF TEN BERG-NORD;Woluwe Saint-Lambert;Val d'Or
21018A37-;COMMUNAUTES;Woluwe Saint-Lambert;Val d'Or
21018A3MJ;GULLEDELLE;Woluwe Saint-Lambert;Val d'Or
21018A41-;EUROPE;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A42-;VERVLOESEM;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A43-;ROODEBEEK;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A512;QUARTIER DES PEINTRES;Woluwe Saint-Lambert;Gribaumont
21018A60-;ROODEBEEK PARC;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A61-;HEYDENBERG-EST;Woluwe Saint-Lambert;Georges Henri
21018A62-;HEYDENBERG-OUEST;Woluwe Saint-Lambert;Georges Henri
21018A63-;CONSTELLATIONS;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A643;DEUX MAISONS;Woluwe Saint-Lambert;Roodebeek - Constellations
21018A72-;ROGATIONS;Woluwe Saint-Lambert;Porte Tervueren
21018A81-;KAPELLEVELD-SUD;Woluwe Saint-Lambert;Kapelleveld
21018A82-;MARIE LA MISERABLE;Woluwe Saint-Lambert;Kapelleveld
21018A83-;KLAKKEDELLE;Woluwe Saint-Lambert;Kapelleveld
21018A84-;KAPELLEVELD-NORD-EST;Woluwe Saint-Lambert;Kapelleveld
21018A87-;SAINT-LUC;Woluwe Saint-Lambert;Kapelleveld
21019A001;CENTRE;Woluwe Saint-Pierre;Boulevard de la Woluwe
21019A01-;BOULEVARD DE LA WOLUWE;Woluwe Saint-Pierre;Boulevard de la Woluwe
21019A02-;CLOS DU SOLEIL;Woluwe Saint-Pierre;Gribaumont
21019A03-;CAPITAINE PIRET (AVENUE);Woluwe Saint-Pierre;Gribaumont
21019A04-;EGGERICX (RUE);Woluwe Saint-Pierre;Gribaumont
21019A052;DON BOSCO;Woluwe Saint-Pierre;Gribaumont
21019A09-;WOLUWE (PARC DE);Woluwe Saint-Pierre;Parc de la Woluwe
21019A10-;STOCKEL;Woluwe Saint-Pierre;Stockel
21019A11-;MILLE METRES (AVENUE);Woluwe Saint-Pierre;Stockel
21019A12-;ESCRIME (AVENUE DE L');Woluwe Saint-Pierre;Stockel
21019A131;KONKEL;Woluwe Saint-Pierre;Stockel
21019A14-;VAL DE SEIGNEURS;Woluwe Saint-Pierre;Stockel
21019A15-;KAPELLEVELD;Woluwe Saint-Pierre;Kapelleveld
21019A20-;SAINT-PAUL;Woluwe Saint-Pierre;Saint-Paul
21019A21-;MANOIR;Woluwe Saint-Pierre;Saint-Paul
21019A22-;PUTDAAL;Woluwe Saint-Pierre;Putdael
21019A231;KELLE;Woluwe Saint-Pierre;Boulevard de la Woluwe
21019A242;VENELLES;Woluwe Saint-Pierre;Saint-Paul
21019A252;MONTGOLFIER;Woluwe Saint-Pierre;Saint-Paul
21019A28-;ETANGS MELLAERTS;Woluwe Saint-Pierre;Parc de la Woluwe
21019A30-;EGLANTINES (AVENUE);Woluwe Saint-Pierre;Chant d'Oiseau
21019A31-;BEMEL;Woluwe Saint-Pierre;Chant d'Oiseau
21019A32-;CHANT D'OISEAU;Woluwe Saint-Pierre;Chant d'Oiseau
21019A33-;MIMOSAS (AVENUE);Woluwe Saint-Pierre;Chant d'Oiseau
21019A34-;EUROPE (QUARTIER DE L');Woluwe Saint-Pierre;Chant d'Oiseau
21019A35-;HORIZON (AVENUE);Woluwe Saint-Pierre;Chant d'Oiseau
21019A40-;SAINTE-ALIX;Woluwe Saint-Pierre;Sainte-Alix - Joli Bois
21019A41-;CITE JOLI-BOIS;Woluwe Saint-Pierre;Sainte-Alix - Joli Bois
21019A42-;SALOME AVENUE;Woluwe Saint-Pierre;Saint-Paul
21019A43-;CORNICHE VERTE;Woluwe Saint-Pierre;Sainte-Alix - Joli Bois
21019A441;FAISANDERIE;Woluwe Saint-Pierre;Saint-Paul
21019A45-;HELICE (AVENUE DE L');Woluwe Saint-Pierre;Saint-Paul
21019A492;BOIS;Woluwe Saint-Pierre;Forêt de Soignes
21019A51-;COLLEGE SAINT-MICHEL;Woluwe Saint-Pierre;Saint-Michel
21019A52-;DUC (RUE);Woluwe Saint-Pierre;Gribaumont
21001C6PB;ZONE RURALE;Anderlecht;Neerpede
21001C70-;BON AIR - CENTRE;Anderlecht;Bon Air
21001C71-;BON AIR - CITE JARDIN;Anderlecht;Bon Air
21001C79-;BON AIR - HABITATIONS DISP.;Anderlecht;Neerpede
